rank,feature_id,frequency_score,active_ratio,mean_activation,std_activation,blacklisted
176,4323,0.9829999804496765,0.9829999804496765,0.2741037607192993,0.30385494232177734,1
177,9166,0.9829999804496765,0.9829999804496765,0.25085943937301636,0.32903361320495605,1
178,7424,0.9810000061988831,0.9810000061988831,0.22659553587436676,0.1846853792667389,1
179,1082,0.9800000190734863,0.9800000190734863,0.3491475582122803,0.3592892587184906,1
180,9841,0.9789999723434448,0.9789999723434448,0.46347495913505554,0.5120888948440552,1
181,4205,0.9789999723434448,0.9789999723434448,0.3760831952095032,0.38482773303985596,1
182,5751,0.9789999723434448,0.9789999723434448,0.3608405590057373,0.42648208141326904,1
183,7789,0.9789999723434448,0.9789999723434448,0.20054368674755096,0.1992923617362976,1
184,7511,0.9779999852180481,0.9779999852180481,0.5622801780700684,0.4506531059741974,1
185,9058,0.9779999852180481,0.9779999852180481,0.5409340858459473,0.5940104126930237,1
186,10021,0.9779999852180481,0.9779999852180481,0.30775371193885803,0.3194289207458496,1
187,3089,0.9779999852180481,0.9779999852180481,0.22221039235591888,0.19804595410823822,1
188,5010,0.9769999980926514,0.9769999980926514,0.5561327934265137,0.5970577597618103,1
189,3280,0.9769999980926514,0.9769999980926514,0.43398112058639526,0.4173542261123657,1
190,81,0.9769999980926514,0.9769999980926514,0.34672001004219055,0.3663150668144226,1
191,7897,0.9769999980926514,0.9769999980926514,0.30451735854148865,0.3497520089149475,1
192,2982,0.9760000109672546,0.9760000109672546,0.44486910104751587,0.458173006772995,1
193,7703,0.9760000109672546,0.9760000109672546,0.36722564697265625,0.3259589970111847,1
194,1956,0.9750000238418579,0.9750000238418579,0.888127863407135,0.9100400805473328,1
195,3435,0.9750000238418579,0.9750000238418579,0.3038851022720337,0.4051451086997986,1
196,504,0.9739999771118164,0.9739999771118164,0.30784597992897034,0.2943739891052246,1
197,1278,0.9739999771118164,0.9739999771118164,0.3075038194656372,0.32687145471572876,1
198,2043,0.9739999771118164,0.9739999771118164,0.1727244257926941,0.1753343641757965,1
199,3242,0.9729999899864197,0.9729999899864197,0.2990937829017639,0.2747126817703247,1
200,7472,0.972000002861023,0.972000002861023,0.15319398045539856,0.15610632300376892,1
201,1955,0.9710000157356262,0.9710000157356262,0.860964834690094,0.8460938334465027,1
202,1419,0.9710000157356262,0.9710000157356262,0.3824414908885956,0.3614421486854553,1
203,7001,0.9700000286102295,0.9700000286102295,0.4475475549697876,0.38063761591911316,1
204,3272,0.9700000286102295,0.9700000286102295,0.3732549846172333,0.42798614501953125,1
205,4350,0.9700000286102295,0.9700000286102295,0.22057059407234192,0.27047333121299744,1
206,7650,0.968999981880188,0.968999981880188,0.33112838864326477,0.376949280500412,1
207,5852,0.968999981880188,0.968999981880188,0.28490468859672546,0.41400837898254395,1
208,8045,0.968999981880188,0.968999981880188,0.24310947954654694,0.21613721549510956,1
209,3333,0.968999981880188,0.968999981880188,0.24251623451709747,0.3170005977153778,1
210,657,0.9679999947547913,0.9679999947547913,0.48827430605888367,0.5837405920028687,1
211,6144,0.9679999947547913,0.9679999947547913,0.239960715174675,0.2693934738636017,1
212,3467,0.9670000076293945,0.9670000076293945,0.2504924535751343,0.3024331331253052,1
213,6997,0.9670000076293945,0.9670000076293945,0.22974683344364166,0.24254442751407623,1
214,1337,0.9660000205039978,0.9660000205039978,0.7306408882141113,0.7480409145355225,1
215,7629,0.9660000205039978,0.9660000205039978,0.2514232099056244,0.2675281763076782,1
216,10138,0.9649999737739563,0.9649999737739563,0.4544343054294586,0.5999345183372498,1
217,3640,0.9649999737739563,0.9649999737739563,0.3062398433685303,0.3289759159088135,1
218,5905,0.9639999866485596,0.9639999866485596,0.9354654550552368,1.2213736772537231,1
219,813,0.9639999866485596,0.9639999866485596,0.31000447273254395,0.3121306002140045,1
220,4730,0.9629999995231628,0.9629999995231628,0.40821373462677,0.3786514103412628,1
